Country,Year,Item,Value
Montenegro,2006,Gross Domestic Product (GDP),3733310203
Montenegro,2004,Gross Domestic Product (GDP),3300749579
Montenegro,2002,Gross Domestic Product (GDP),3084270764
Montenegro,2000,Gross Domestic Product (GDP),2993719354
Montenegro,1998,Gross Domestic Product (GDP),2851161290
Montenegro,1996,Gross Domestic Product (GDP),2557457326
Serbia,2006,Gross Domestic Product (GDP),36293177830
Serbia,2004,Gross Domestic Product (GDP),32780200251
Serbia,2002,Gross Domestic Product (GDP),28789665624
Serbia,2000,Gross Domestic Product (GDP),25598961862
Serbia,1998,Gross Domestic Product (GDP),27040212029
Serbia,1996,Gross Domestic Product (GDP),24629049428
