Country,Year,Population
Serbia,1989,9450770
Serbia,1988,9397313
Serbia,1987,9352150
Serbia,1986,9306347
Serbia,1985,9253405
Serbia,1984,9192920
Serbia,1983,9127677
Serbia,1982,9057978
Serbia,1981,8984594
Serbia,1980,8908293
Serbia,1979,8829036
Serbia,1978,8746980
Serbia,1977,8663325
Serbia,1976,8579630
Serbia,1975,8497170
Serbia,1974,8416250
Serbia,1973,8337076
Serbia,1972,8260625
Serbia,1971,8187991
Serbia,1970,8119860
Serbia,1969,8056665
Serbia,1968,7998002
Serbia,1967,7942640
Serbia,1966,7888804
Serbia,1965,7835082
Serbia,1964,7780685
Serbia,1963,7725503
Serbia,1962,7669609
Serbia,1961,7613352
Serbia,1960,7556725
